iteration_number,unreachable_points_number,recall
619,7663,0.992787
620,7677,0.992781
621,7687,0.992726
622,7701,0.992719
623,7712,0.992708
624,7716,0.992679
625,7722,0.992709
626,7736,0.992706
627,7750,0.992723
628,7761,0.992685
629,7770,0.992675
630,7786,0.992641
631,7796,0.992625
632,7808,0.992639
633,7826,0.992629
634,7840,0.992620
635,7853,0.992621
636,7866,0.992596
637,7874,0.992567
638,7889,0.992550
639,7900,0.992538
640,7907,0.992546
641,7915,0.992565
642,7921,0.992586
643,7936,0.992546
644,7948,0.992533
645,7962,0.992542
646,7968,0.992484
647,7982,0.992454
648,7995,0.992474
649,8005,0.992455
650,8009,0.992476
651,8017,0.992470
652,8025,0.992456
653,8037,0.992429
654,8053,0.992445
655,8066,0.992369
656,8079,0.992350
657,8094,0.992374
658,8109,0.992354
659,8119,0.992372
660,8129,0.992374
661,8141,0.992383
662,8148,0.992348
663,8152,0.992335
664,8163,0.992355
665,8172,0.992286
666,8193,0.992268
667,8202,0.992281
668,8214,0.992274
669,8234,0.992220
670,8247,0.992254
671,8261,0.992230
672,8275,0.992230
673,8283,0.992251
674,8293,0.992233
675,8306,0.992211
676,8317,0.992220
677,8329,0.992232
678,8341,0.992227
679,8351,0.992173
680,8363,0.992183
681,8371,0.992166
682,8376,0.992144
683,8392,0.992198
684,8407,0.992192
685,8415,0.992194
686,8423,0.992223
687,8430,0.992163
688,8442,0.992140
689,8453,0.992156
690,8464,0.992156
691,8473,0.992103
692,8480,0.992066
693,8486,0.992067
694,8499,0.992057
695,8508,0.992039
696,8515,0.992062
697,8525,0.992035
698,8535,0.992062
699,8544,0.992044
700,8558,0.992028
701,8571,0.992021
702,8584,0.991986
703,8592,0.991945
704,8599,0.991950
705,8607,0.991959
706,8614,0.991951
707,8631,0.991909
708,8647,0.991915
709,8653,0.991863
710,8660,0.991912
711,8674,0.991868
712,8684,0.991898
713,8697,0.991871
714,8707,0.991839
715,8717,0.991843
716,8723,0.991868
717,8729,0.991826
718,8746,0.991802
719,8754,0.991774
720,8761,0.991790
721,8770,0.991775
722,8786,0.991788
723,8796,0.991772
724,8805,0.991721
725,8815,0.991773
726,8826,0.991732
727,8841,0.991722
728,8854,0.991720
729,8864,0.991679
730,8874,0.991722
731,8884,0.991685
732,8897,0.991710
733,8909,0.991716
734,8919,0.991686
735,8929,0.991657
736,8942,0.991661
737,8952,0.991666
738,8959,0.991623
739,8973,0.991587
740,8986,0.991564
741,8998,0.991549
742,9009,0.991562
743,9021,0.991541
744,9028,0.991552
745,9046,0.991612
746,9060,0.991554
747,9067,0.991562
748,9077,0.991497
749,9088,0.991504
750,9095,0.991516
751,9108,0.991498
752,9116,0.991458
753,9127,0.991464
754,9142,0.991423
755,9147,0.991416
756,9159,0.991395
757,9180,0.991389
758,9199,0.991413
759,9207,0.991372
760,9217,0.991391
761,9228,0.991406
762,9244,0.991364
763,9256,0.991358
764,9263,0.991280
765,9272,0.991306
766,9284,0.991327
767,9297,0.991282
768,9305,0.991279
769,9317,0.991291
770,9328,0.991313
771,9339,0.991300
772,9352,0.991304
